index,id,created_at,date,place,tweet,language,ticker,user_id_str,username,nlikes,nreplies,nretweets,geo,source,compound,bearish,neutral,bullish
25,1367875868589125636_ocgn,1.61496E+12,05/03/2021 16:00,,"It’s official. I’m not checking a single stock for the next 7 days. I can’t handle watching my babies drown in the red seas   $OCGN, $SNDL, $ZOM, $TXMD, $ACRX, $TMBR, $SOS, $UWMC",en,OCGN,23147444,rosehasse,18,4,1,,twitter,-0.5719,0.117,0.883,0
26,1367875868589125636_sndl,1.61496E+12,05/03/2021 16:00,,"It’s official. I’m not checking a single stock for the next 7 days. I can’t handle watching my babies drown in the red seas   $OCGN, $SNDL, $ZOM, $TXMD, $ACRX, $TMBR, $SOS, $UWMC",en,SNDL,23147444,rosehasse,18,4,1,,twitter,-0.5719,0.117,0.883,0
27,1367875868589125636_zom,1.61496E+12,05/03/2021 16:00,,"It’s official. I’m not checking a single stock for the next 7 days. I can’t handle watching my babies drown in the red seas   $OCGN, $SNDL, $ZOM, $TXMD, $ACRX, $TMBR, $SOS, $UWMC",en,ZOM,23147444,rosehasse,18,4,1,,twitter,-0.5719,0.117,0.883,0
28,1367875868589125636_txmd,1.61496E+12,05/03/2021 16:00,,"It’s official. I’m not checking a single stock for the next 7 days. I can’t handle watching my babies drown in the red seas   $OCGN, $SNDL, $ZOM, $TXMD, $ACRX, $TMBR, $SOS, $UWMC",en,TXMD,23147444,rosehasse,18,4,1,,twitter,-0.5719,0.117,0.883,0
29,1367875868589125636_acrx,1.61496E+12,05/03/2021 16:00,,"It’s official. I’m not checking a single stock for the next 7 days. I can’t handle watching my babies drown in the red seas   $OCGN, $SNDL, $ZOM, $TXMD, $ACRX, $TMBR, $SOS, $UWMC",en,ACRX,23147444,rosehasse,18,4,1,,twitter,-0.5719,0.117,0.883,0
30,1367875868589125636_tmbr,1.61496E+12,05/03/2021 16:00,,"It’s official. I’m not checking a single stock for the next 7 days. I can’t handle watching my babies drown in the red seas   $OCGN, $SNDL, $ZOM, $TXMD, $ACRX, $TMBR, $SOS, $UWMC",en,TMBR,23147444,rosehasse,18,4,1,,twitter,-0.5719,0.117,0.883,0
31,1367875868589125636_sos,1.61496E+12,05/03/2021 16:00,,"It’s official. I’m not checking a single stock for the next 7 days. I can’t handle watching my babies drown in the red seas   $OCGN, $SNDL, $ZOM, $TXMD, $ACRX, $TMBR, $SOS, $UWMC",en,SOS,23147444,rosehasse,18,4,1,,twitter,-0.5719,0.117,0.883,0
32,1367875868589125636_uwmc,1.61496E+12,05/03/2021 16:00,,"It’s official. I’m not checking a single stock for the next 7 days. I can’t handle watching my babies drown in the red seas   $OCGN, $SNDL, $ZOM, $TXMD, $ACRX, $TMBR, $SOS, $UWMC",en,UWMC,23147444,rosehasse,18,4,1,,twitter,-0.5719,0.117,0.883,0
39,1367822494279798785_uwmc,1.61495E+12,05/03/2021 13:00,,"$UWMC CEO issues ultimatum, escalates war against $RKT ⁦@RocketMortgage⁩ Companies  https://t.co/susSSIiQHI",en,UWMC,2342334844,SpacGuru,21,1,5,,twitter,-0.5994,0.281,0.719,0
40,1367822494279798785_rkt,1.61495E+12,05/03/2021 13:00,,"$UWMC CEO issues ultimatum, escalates war against $RKT ⁦@RocketMortgage⁩ Companies  https://t.co/susSSIiQHI",en,RKT,2342334844,SpacGuru,21,1,5,,twitter,-0.5994,0.281,0.719,0
0,1368038899432513536_vale,1.615E+12,06/03/2021 03:00,,"$VALE, Daily  Tickers still above the 8 and 21EMAs are far and few between...  Consolidation through a high bullish pennant just above PoC from November's swing low.  Break coming by April OpEx—considering the recent strength, my guess is 📈  @TrendSpider  https://t.co/KtlfXV9L1P",en,VALE,1.30207E+18,ChartingOptions,72,8,15,,twitter,0.2732,0.051,0.872,0.077
18,1367683294356271104_vale,1.61492E+12,05/03/2021 03:00,,"$VALE Small cup with handle setup with a large volume shelf forming around price. Looks ready to go, yet with market pressure it is difficult to gain traction.  One of the few nice setups out there.   Chart courtesy of @TrendSpider  https://t.co/GsjRyFvnj9",en,VALE,1.21805E+18,CasualtyWar,22,3,4,,twitter,0.7579,0.094,0.681,0.224
0,1367990316951814146_viac,1.61499E+12,06/03/2021 00:00,,I have a feeling March Madness is going to be a lucrative time for $VIAC &amp; $PENN.   YOY comps will include 0 tourney gambling/broadcasting revenues from 2020 (didn’t happen &amp; @BSSportsbook didn’t exist).   Oh &amp; go blue👇  https://t.co/WqI0v7QFll,en,VIAC,1.1306E+18,StockMarketNerd,18,5,1,,twitter,-0.34,0.08,0.879,0.041
1,1367990316951814146_penn,1.61499E+12,06/03/2021 00:00,,I have a feeling March Madness is going to be a lucrative time for $VIAC &amp; $PENN.   YOY comps will include 0 tourney gambling/broadcasting revenues from 2020 (didn’t happen &amp; @BSSportsbook didn’t exist).   Oh &amp; go blue👇  https://t.co/WqI0v7QFll,en,PENN,1.1306E+18,StockMarketNerd,18,5,1,,twitter,-0.34,0.08,0.879,0.041
0,1367907250845720577_vips,1.61497E+12,05/03/2021 18:00,,$VIPS - A real VIP stock 🤣 Going higher and higher no matter what the general market is doing. Outstanding relative strength!  (No investment advice!)  https://t.co/oVg5aV0X8c,en,VIPS,1144984532,BlogJulianKomar,48,4,6,,twitter,0.8938,0.066,0.544,0.39
11,1367867142696222720_yfl,1.61496E+12,05/03/2021 15:00,,"Most undervalued #DeFi tokens in terms of total value locked to fully diluted evaluation ratio.  👑 $YFL  | TVL = 4.7 x FDV  🥈 $FARM  | TVL = 3.9 x FDV  🥉 $MKR  | TVL = 2.7 x FDV  👏 $PICKLE $BADGER $BNT $VALUE $COMP $WING $IDLE  Data from @coingecko, @DefiLlama  https://t.co/7BLtjGLCok",en,YFL,1.31497E+18,DeFiantEvidence,25,1,6,,twitter,0.34,0,0.941,0.059
12,1367867142696222720_farm,1.61496E+12,05/03/2021 15:00,,"Most undervalued #DeFi tokens in terms of total value locked to fully diluted evaluation ratio.  👑 $YFL  | TVL = 4.7 x FDV  🥈 $FARM  | TVL = 3.9 x FDV  🥉 $MKR  | TVL = 2.7 x FDV  👏 $PICKLE $BADGER $BNT $VALUE $COMP $WING $IDLE  Data from @coingecko, @DefiLlama  https://t.co/7BLtjGLCok",en,FARM,1.31497E+18,DeFiantEvidence,25,1,6,,twitter,0.34,0,0.941,0.059
13,1367867142696222720_mkr,1.61496E+12,05/03/2021 15:00,,"Most undervalued #DeFi tokens in terms of total value locked to fully diluted evaluation ratio.  👑 $YFL  | TVL = 4.7 x FDV  🥈 $FARM  | TVL = 3.9 x FDV  🥉 $MKR  | TVL = 2.7 x FDV  👏 $PICKLE $BADGER $BNT $VALUE $COMP $WING $IDLE  Data from @coingecko, @DefiLlama  https://t.co/7BLtjGLCok",en,MKR,1.31497E+18,DeFiantEvidence,25,1,6,,twitter,0.34,0,0.941,0.059
14,1367867142696222720_pickle,1.61496E+12,05/03/2021 15:00,,"Most undervalued #DeFi tokens in terms of total value locked to fully diluted evaluation ratio.  👑 $YFL  | TVL = 4.7 x FDV  🥈 $FARM  | TVL = 3.9 x FDV  🥉 $MKR  | TVL = 2.7 x FDV  👏 $PICKLE $BADGER $BNT $VALUE $COMP $WING $IDLE  Data from @coingecko, @DefiLlama  https://t.co/7BLtjGLCok",en,PICKLE,1.31497E+18,DeFiantEvidence,25,1,6,,twitter,0.34,0,0.941,0.059
15,1367867142696222720_badger,1.61496E+12,05/03/2021 15:00,,"Most undervalued #DeFi tokens in terms of total value locked to fully diluted evaluation ratio.  👑 $YFL  | TVL = 4.7 x FDV  🥈 $FARM  | TVL = 3.9 x FDV  🥉 $MKR  | TVL = 2.7 x FDV  👏 $PICKLE $BADGER $BNT $VALUE $COMP $WING $IDLE  Data from @coingecko, @DefiLlama  https://t.co/7BLtjGLCok",en,BADGER,1.31497E+18,DeFiantEvidence,25,1,6,,twitter,0.34,0,0.941,0.059
16,1367867142696222720_bnt,1.61496E+12,05/03/2021 15:00,,"Most undervalued #DeFi tokens in terms of total value locked to fully diluted evaluation ratio.  👑 $YFL  | TVL = 4.7 x FDV  🥈 $FARM  | TVL = 3.9 x FDV  🥉 $MKR  | TVL = 2.7 x FDV  👏 $PICKLE $BADGER $BNT $VALUE $COMP $WING $IDLE  Data from @coingecko, @DefiLlama  https://t.co/7BLtjGLCok",en,BNT,1.31497E+18,DeFiantEvidence,25,1,6,,twitter,0.34,0,0.941,0.059
17,1367867142696222720_value,1.61496E+12,05/03/2021 15:00,,"Most undervalued #DeFi tokens in terms of total value locked to fully diluted evaluation ratio.  👑 $YFL  | TVL = 4.7 x FDV  🥈 $FARM  | TVL = 3.9 x FDV  🥉 $MKR  | TVL = 2.7 x FDV  👏 $PICKLE $BADGER $BNT $VALUE $COMP $WING $IDLE  Data from @coingecko, @DefiLlama  https://t.co/7BLtjGLCok",en,VALUE,1.31497E+18,DeFiantEvidence,25,1,6,,twitter,0.34,0,0.941,0.059
18,1367867142696222720_comp,1.61496E+12,05/03/2021 15:00,,"Most undervalued #DeFi tokens in terms of total value locked to fully diluted evaluation ratio.  👑 $YFL  | TVL = 4.7 x FDV  🥈 $FARM  | TVL = 3.9 x FDV  🥉 $MKR  | TVL = 2.7 x FDV  👏 $PICKLE $BADGER $BNT $VALUE $COMP $WING $IDLE  Data from @coingecko, @DefiLlama  https://t.co/7BLtjGLCok",en,COMP,1.31497E+18,DeFiantEvidence,25,1,6,,twitter,0.34,0,0.941,0.059
19,1367867142696222720_wing,1.61496E+12,05/03/2021 15:00,,"Most undervalued #DeFi tokens in terms of total value locked to fully diluted evaluation ratio.  👑 $YFL  | TVL = 4.7 x FDV  🥈 $FARM  | TVL = 3.9 x FDV  🥉 $MKR  | TVL = 2.7 x FDV  👏 $PICKLE $BADGER $BNT $VALUE $COMP $WING $IDLE  Data from @coingecko, @DefiLlama  https://t.co/7BLtjGLCok",en,WING,1.31497E+18,DeFiantEvidence,25,1,6,,twitter,0.34,0,0.941,0.059
20,1367867142696222720_idle,1.61496E+12,05/03/2021 15:00,,"Most undervalued #DeFi tokens in terms of total value locked to fully diluted evaluation ratio.  👑 $YFL  | TVL = 4.7 x FDV  🥈 $FARM  | TVL = 3.9 x FDV  🥉 $MKR  | TVL = 2.7 x FDV  👏 $PICKLE $BADGER $BNT $VALUE $COMP $WING $IDLE  Data from @coingecko, @DefiLlama  https://t.co/7BLtjGLCok",en,IDLE,1.31497E+18,DeFiantEvidence,25,1,6,,twitter,0.34,0,0.941,0.059
26,1367780677848993794_wing,1.61494E+12,05/03/2021 10:00,,Calling all #WingDAO members!! 📢 We are giving away $WING tokens for you to join and participate in the #governance forum to ensure the continued growth of our #community and #ecosystem! 👏👏  Full Details 👇   https://t.co/E6Q487vMb9,en,WING,1.29781E+18,Wing_Finance,30,4,15,,twitter,0.865,0,0.738,0.262
27,1367681660834082820_uni,1.61492E+12,05/03/2021 03:00,,Daily #TVL update: Our #FlashPool clocked in at $148 million today with $UNI posting a Supply APY of over 94% with $WING &amp; $SUSD right behind at 64% and 39% each! 👏👏  Join now:  https://t.co/Q33Nfa1se3  https://t.co/Xfd3RhbINA,en,UNI,1.29781E+18,Wing_Finance,20,0,6,,twitter,0.3595,0,0.932,0.068
28,1367681660834082820_wing,1.61492E+12,05/03/2021 03:00,,Daily #TVL update: Our #FlashPool clocked in at $148 million today with $UNI posting a Supply APY of over 94% with $WING &amp; $SUSD right behind at 64% and 39% each! 👏👏  Join now:  https://t.co/Q33Nfa1se3  https://t.co/Xfd3RhbINA,en,WING,1.29781E+18,Wing_Finance,20,0,6,,twitter,0.3595,0,0.932,0.068
29,1367681660834082820_susd,1.61492E+12,05/03/2021 03:00,,Daily #TVL update: Our #FlashPool clocked in at $148 million today with $UNI posting a Supply APY of over 94% with $WING &amp; $SUSD right behind at 64% and 39% each! 👏👏  Join now:  https://t.co/Q33Nfa1se3  https://t.co/Xfd3RhbINA,en,SUSD,1.29781E+18,Wing_Finance,20,0,6,,twitter,0.3595,0,0.932,0.068
65,1367817630481014786_wkhs,1.61495E+12,05/03/2021 12:00,,“Wife has no clue our portfolio is down.” $WKHS $ARKK $WWR @KarenLeeAlex  https://t.co/zzPw8kLysK,en,WKHS,3424441204,BagholderQuotes,116,1,4,,twitter,-0.296,0.155,0.845,0
66,1367817630481014786_arkk,1.61495E+12,05/03/2021 12:00,,“Wife has no clue our portfolio is down.” $WKHS $ARKK $WWR @KarenLeeAlex  https://t.co/zzPw8kLysK,en,ARKK,3424441204,BagholderQuotes,116,1,4,,twitter,-0.296,0.155,0.845,0
67,1367817630481014786_wwr,1.61495E+12,05/03/2021 12:00,,“Wife has no clue our portfolio is down.” $WKHS $ARKK $WWR @KarenLeeAlex  https://t.co/zzPw8kLysK,en,WWR,3424441204,BagholderQuotes,116,1,4,,twitter,-0.296,0.155,0.845,0
68,1367808425749528576_wkhs,1.61495E+12,05/03/2021 12:00,,"The winning bidder, Oshkosh, has 14,000 employees, had $1.6B revenue in 2020, and a long track-record of government contracting.   $WKHS has 130 employees, had $0.0014B revenue in 2020, and  is loved by Cathie Wood.  https://t.co/GCHQe34OIU",en,WKHS,9.62806E+17,TESLAcharts,162,16,11,,twitter,0.8074,0,0.814,0.186
70,1367648814996324358_wkhs,1.61491E+12,05/03/2021 01:00,,"Buying $WKHS on hopes of a USPS deal is like buying a microcap biotech co on the hope that the failed trial data that they post-hoc'ed to show improvement with p=0.45 will be approved by the FDA.  People do it, but they really shouldn't be doing it.",en,WKHS,1.07525E+18,TeslaTunnel,54,3,6,,twitter,0.6542,0.042,0.77,0.188
71,1367648196885905410_wkhs,1.61491E+12,05/03/2021 01:00,,"Put another way, today she bought one share of $WKHS for every $1 of revenue the company had in Q3 2020... Not $1 per share of revenue.  $1 of revenue.",en,WKHS,9.62806E+17,TESLAcharts,51,3,1,,twitter,0.5267,0,0.864,0.136
72,1367645611844112389_wkhs,1.61491E+12,05/03/2021 01:00,,Everyone in the auto industry knows exactly what $WKHS is - and I mean EVERYONE. It would literally take *ONE* phone call to an industry executive (current or former) to understand how insane Cathie’s thesis is here. Ark does *ZERO* real due diligence. None. Shocking.,en,WKHS,9.62806E+17,TESLAcharts,245,34,35,,twitter,-0.1134,0.059,0.892,0.049
12,1367935932557627394_wmt,1.61498E+12,05/03/2021 20:00,,"I would like to recount the gifts I've given to you people in 24 hours.   bot $WMT, its green (FYI @speculatorone)  ran out of gas, called bottom, NASDAQ +100ish put on my $PTON vest, goes green.   If this doesn't make you subscribe to my future substack, I don't know what will.",en,WMT,18960561,Ryan_Burgio,23,5,0,,twitter,0.3612,0,0.95,0.05
13,1367935932557627394_pton,1.61498E+12,05/03/2021 20:00,,"I would like to recount the gifts I've given to you people in 24 hours.   bot $WMT, its green (FYI @speculatorone)  ran out of gas, called bottom, NASDAQ +100ish put on my $PTON vest, goes green.   If this doesn't make you subscribe to my future substack, I don't know what will.",en,PTON,18960561,Ryan_Burgio,23,5,0,,twitter,0.3612,0,0.95,0.05
0,1367660890678571011_wow,1.61491E+12,05/03/2021 02:00,,$WOW doesn’t give a fuck about your market fear  https://t.co/jxgf6En64b,en,WOW,186147389,tannerdsilva,18,2,0,,twitter,-0.7717,0.489,0.511,0
17,1367948744512081920_spy,1.61498E+12,05/03/2021 21:00,,VIDEO  https://t.co/3usfum7VIH Stock Market Analysis for Week Ending 3/5/21  $SPY $QQQ $IWM $SMH $IBB $XLF $WW $NTLA $NFLX ⚓️VWAP #measuredmove  have a good weekend!🍻,en,SPY,15246621,alphatrends,35,4,6,,twitter,0.4926,0,0.873,0.127
18,1367948744512081920_qqq,1.61498E+12,05/03/2021 21:00,,VIDEO  https://t.co/3usfum7VIH Stock Market Analysis for Week Ending 3/5/21  $SPY $QQQ $IWM $SMH $IBB $XLF $WW $NTLA $NFLX ⚓️VWAP #measuredmove  have a good weekend!🍻,en,QQQ,15246621,alphatrends,35,4,6,,twitter,0.4926,0,0.873,0.127
19,1367948744512081920_iwm,1.61498E+12,05/03/2021 21:00,,VIDEO  https://t.co/3usfum7VIH Stock Market Analysis for Week Ending 3/5/21  $SPY $QQQ $IWM $SMH $IBB $XLF $WW $NTLA $NFLX ⚓️VWAP #measuredmove  have a good weekend!🍻,en,IWM,15246621,alphatrends,35,4,6,,twitter,0.4926,0,0.873,0.127
20,1367948744512081920_smh,1.61498E+12,05/03/2021 21:00,,VIDEO  https://t.co/3usfum7VIH Stock Market Analysis for Week Ending 3/5/21  $SPY $QQQ $IWM $SMH $IBB $XLF $WW $NTLA $NFLX ⚓️VWAP #measuredmove  have a good weekend!🍻,en,SMH,15246621,alphatrends,35,4,6,,twitter,0.4926,0,0.873,0.127
